,Date,PM,Latitude,Longitude,Dataset,Site Location #
229,9/22/17,4.6,36.78538,-119.77321,Monitoring Stations,1
230,9/23/17,6.9,36.78538,-119.77321,Monitoring Stations,1
231,9/24/17,7.1,36.78538,-119.77321,Monitoring Stations,1
232,9/25/17,7.6,36.78538,-119.77321,Monitoring Stations,1
233,9/26/17,9.2,36.78538,-119.77321,Monitoring Stations,1
234,9/27/17,10.4,36.78538,-119.77321,Monitoring Stations,1
235,9/28/17,9.1,36.78538,-119.77321,Monitoring Stations,1
236,9/29/17,9.3,36.78538,-119.77321,Monitoring Stations,1
237,9/30/17,5.1,36.78538,-119.77321,Monitoring Stations,1
238,10/1/17,8.2,36.78538,-119.77321,Monitoring Stations,1
239,10/2/17,8.6,36.78538,-119.77321,Monitoring Stations,1
240,10/3/17,10.8,36.78538,-119.77321,Monitoring Stations,1
241,10/4/17,10.3,36.78538,-119.77321,Monitoring Stations,1
242,10/5/17,11.9,36.78538,-119.77321,Monitoring Stations,1
243,10/6/17,13.3,36.78538,-119.77321,Monitoring Stations,1
244,10/7/17,15.7,36.78538,-119.77321,Monitoring Stations,1
245,10/8/17,15,36.78538,-119.77321,Monitoring Stations,1
246,10/9/17,12,36.78538,-119.77321,Monitoring Stations,1
247,10/10/17,16.2,36.78538,-119.77321,Monitoring Stations,1
248,10/11/17,37.5,36.78538,-119.77321,Monitoring Stations,1
249,10/12/17,26.4,36.78538,-119.77321,Monitoring Stations,1
250,10/13/17,27.1,36.78538,-119.77321,Monitoring Stations,1
251,10/14/17,32.8,36.78538,-119.77321,Monitoring Stations,1
252,10/15/17,23.1,36.78538,-119.77321,Monitoring Stations,1
253,10/16/17,24.7,36.78538,-119.77321,Monitoring Stations,1
254,10/17/17,27.8,36.78538,-119.77321,Monitoring Stations,1
255,10/18/17,32,36.78538,-119.77321,Monitoring Stations,1
256,10/19/17,19.5,36.78538,-119.77321,Monitoring Stations,1
257,10/20/17,4.2,36.78538,-119.77321,Monitoring Stations,1
258,10/21/17,13.4,36.78538,-119.77321,Monitoring Stations,1
259,10/22/17,14.4,36.78538,-119.77321,Monitoring Stations,1
260,10/23/17,12.1,36.78538,-119.77321,Monitoring Stations,1
261,10/24/17,14.9,36.78538,-119.77321,Monitoring Stations,1
262,10/25/17,14.1,36.78538,-119.77321,Monitoring Stations,1
263,10/26/17,17.6,36.78538,-119.77321,Monitoring Stations,1
264,10/27/17,17.2,36.78538,-119.77321,Monitoring Stations,1
265,10/28/17,17,36.78538,-119.77321,Monitoring Stations,1
266,10/29/17,22,36.78538,-119.77321,Monitoring Stations,1
267,10/30/17,21.6,36.78538,-119.77321,Monitoring Stations,1
268,10/31/17,8.2,36.78538,-119.77321,Monitoring Stations,1
269,11/1/17,16,36.78538,-119.77321,Monitoring Stations,1
